station_id,species,temperature_c,salinity_psu,ph,latitude,longitude,date 
101,Octopus vulgaris,17.5,35.1,8.1,-12.04567,-77.03456,2025-03-01
102,Lutjanus peru,20.1,34.8,8.0,-11.98543,-76.99876,2025-03-01
104,Trachurus murphyi,18.4,35.5,8.0,-14.12345,-76.87654,2025-03-02
105,Sardinops sagax,16.9,35.0,7.9,-12.95678,-76.98765,2025-03-03
106,Dosidicus gigas,21.0,34.7,8.2,-13.54321,-77.19876,2025-03-04
107,Paralichthys adspersus,19.7,35.2,8.1,-12.23456,-77.04321,2025-03-04
108,Coryphaena hippurus,20.6,34.9,8.4,-12.87654,-76.76543,2025-03-05
109,Isurus oxyrinchus,22.0,35.3,8.2,-13.34567,-77.25678,2025-03-06
110,Sebastes oculatus,18.8,35.1,8.0,-14.00123,-77.00123,2025-03-07
111,Engraulis ringens,18.3,35.2,7.8,-13.12345,-76.92346,2025-03-08
112,Merluccius gayi,16.8,34.9,8.1,-12.54879,-77.12458,2025-03-08
113,Scomber japonicus,19.5,35.0,8.3,-13.78542,-77.06325,2025-03-09
114,Paralabrax humeralis,17.9,35.3,8.0,-12.32568,-76.89754,2025-03-10
115,Mustelus whitneyi,20.3,34.8,7.9,-13.45678,-77.21456,2025-03-10
